Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,include title,include abstract,exclude,accept contents,code,theme,rq answers
Comparison of different similarity measures in hierarchical clustering,M. Vagni; N. Giordano; G. Balestra; S. Rosati,"Politecnico di Torino,Department of Electronics and Telecommunications,Torino,Italy; Politecnico di Torino,Department of Electronics and Telecommunications,Torino,Italy; Politecnico di Torino,Department of Electronics and Telecommunications,Torino,Italy; Politecnico di Torino,Department of Electronics and Telecommunications,Torino,Italy",2021 IEEE International Symposium on Medical Measurements and Applications (MeMeA),12-Jul-21,2021,,,1,6,"The management of datasets containing heterogeneous types of data is a crucial point in the context of precision medicine, where genetic, environmental, and life-style information of each individual has to be analyzed simultaneously. Clustering represents a powerful method, used in data mining, for extracting new useful knowledge from unlabeled datasets. Clustering methods are essentially distance-based, since they measure the similarity (or the distance) between two elements or one element and the cluster centroid. However, the selection of the distance metric is not a trivial task: it could influence the clustering results and, thus, the extracted information. In this study we analyze the impact of four similarity measures (Manhattan or L1 distance, Euclidean or L2 distance, Chebyshev or L∞ distance and Gower distance) on the clustering results obtained for datasets containing different types of variables. We applied hierarchical clustering combined with an automatic cut point selection method to six datasets publicly available on the UCI Repository. Four different clusterizations were obtained for every dataset (one for each distance) and were analyzed in terms of number of clusters, number of elements in each cluster, and cluster centroids. Our results showed that changing the distance metric produces substantial modifications in the obtained clusters. This behavior is particularly evident for datasets containing heterogeneous variables. Thus, the choice of the distance measure should not be done a-priori but evaluated according to the set of data to be analyzed and the task to be accomplished.",,978-1-6654-1914-7,10.1109/MeMeA52024.2021.9478746,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9478746,similarity measures;distance measures;Gower distance;hierarchical clustering;UCI repository,Measurement;Precision medicine;Clustering methods;Chebyshev approximation;Genetics;Data mining;Task analysis,data mining;learning (artificial intelligence);pattern classification;pattern clustering,Chebyshev distance;life-style information;clusterizations;genetic life-style information;precision medicine;crucial point;similarity measures;distance measure;heterogeneous variables;automatic cut point selection method;hierarchical clustering;Gower distance;L∞ distance;distance metric;cluster centroid;clustering methods;unlabeled datasets;data mining,,,,19,,12-Jul-21,,,IEEE,IEEE Conferences,yes,yes,no,yes,selection; comparison; data-depedent,Selection Criteria,"""The aim of this study is to analyze the impact of different similarity measures on the clustering results obtained for datasets containing different types of variables."" pg.2. ""All these findings reveal that the choice of the distance measure to be used for clustering is not a trivial task, since each metric returns very different groups of elements"" pg.5. ""Fig. 1 shows the number of clusters identified for each dataset, using the four distance measures. As it emerges from the figure, changing the distance measure could significantly modify the number of identified clusters"" pg.4. ""Thus, the choice of the distance measure should not
be done a-priori but evaluated according to the set of data to be
analyzed and the task to be accomplished."" pg.1"
Effects of Similarity Metrics on Document Clustering,K. Taghva; R. Veni,"Dept. of Comput. Sci., Univ. of Nevada, Las Vegas, NV, USA; Dept. of Comput. Sci., Univ. of Nevada, Las Vegas, NV, USA",2010 Seventh International Conference on Information Technology: New Generations,01-Jul-10,2010,,,222,226,"Document clustering or unsupervised document classification is an automated process of grouping documents with similar content. A typical technique uses a similarity function to compare documents. In the literature, many similarity functions such as dot product or cosine measures are proposed for the comparison operator. In these papers, we evaluate the effects of many similarity functions on k-mean clustering algorithm. Based on our analysis, we conclude that Chi-Square works best for the document collection with efficiency around 80% followed by Canberra and Euclidean distances with 70%. The results also indicate that the distance metrics like Bray-Curtis, Variational and Trigonometric function didn't produce good results.",,978-1-4244-6271-1,10.1109/ITNG.2010.65,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5501469,Clustering;distance function;k-mean;unsupervised learning,Clustering algorithms;Partitioning algorithms;Euclidean distance;Information retrieval;Information technology;Computer science;Convergence;Unsupervised learning,document handling;geometry;pattern clustering;software metrics,similarity metrics;document clustering;unsupervised document classification;dot product;cosine measures;similarity functions;k-mean clustering algorithm;Chi-Square;Euclidean distances;Canberra distances,,6,,10,,01-Jul-10,,,IEEE,IEEE Conferences,yes,yes,no,yes,comparison; data-dependent,Comparing which metric works better,"""Based on our analysis, we conclude that that ChiSquare works best for the document collection with
efficiency around 80 % followed by Canberra and
Euclidean distances with 70 %. The results also indicate
that the distance metrics like Bray-Curtis, Variational and
Trigonometric function didn�t produce good results."" pg.5."
A Discounted Fuzzy Relational Clustering of Web Users’ Using Intuitive Augmented Sessions Dissimilarity Metric,D. S. Sisodia; S. Verma; O. P. Vyas,"Department of Computer Science and Engineering, National Institute of Technology Raipur, Raipur, India; Department of Electronics and Telecommunication Engineering, National Institute of Technology Raipur, Raipur, India; International Institute of Information Technology, Naya Raipur, India",IEEE Access,07-Nov-16,2016,4,,6883,6893,"Relational fuzzy clustering (RFC) algorithms prove very useful in Web user session clustering because Web user sessions may contain fuzzy, conflicting and imprecise information. Though RFC algorithms are very sensitive to cluster initialization and works only if the numbers of clusters are specified in advance. However, at all times, the prior initialization of a number of clusters is not feasible due to the dynamically evolving nature of user sessions. Therefore, estimating the number of clusters and initializing suitable cluster prototype are a significant performance bottleneck in this method. In this paper, the discounted fuzzy relational clustering (DFRC) algorithm is proposed to address the major constraint of RFC. The DFRC algorithm identifies Web user session clusters from Web server access logs, without initializing the number of clusters and prototypes of initial clusters. The DFRC algorithm works in two stages. In the first stage, DFRC automatically identifies the number of potential clusters based on the successively discounted potential density function value of each relational data and their respective centres. In the second stage, DFRC assigns fuzzy membership values to each data point and forms fuzzy clusters from the relational matrix. The DFRC algorithm is applied on an augmented session dissimilarity matrix obtained from a publicly accessed NASA Web server log data. The experimental results are evaluated using different fuzzy validity measures. The extensive experiments are performed to test the effect of various parameters, including accept/reject ratio and neighbourhood radius on the performance of DFRC algorithm. The results were also compared with fuzzy relational clustering algorithm using cluster quality measures. It is observed that the quality of generated clusters using DFRC is superior as compared with that of RFC.",2169-3536,,10.1109/ACCESS.2016.2611682,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7586109,Augmented sessions;cluster quality;fuzzy validity index;relational fuzzy clustering;similarity measures;subtractive clustering,Clustering algorithms;Heuristic algorithms;Web servers;Density functional theory;Augmented reality;Fuzzy logic,fuzzy set theory;Internet;matrix algebra;pattern clustering;relational databases,neighbourhood radius;accept-reject ratio;fuzzy validity measures;NASA Web server access log data;augmented session dissimilarity matrix;relational matrix;fuzzy membership values;relational data;successively discounted potential density function value;DFRC algorithm;cluster prototype;RFC algorithm;cluster initialization;Web user session clustering;discounted fuzzy relational clustering,,5,,48,OAPA,07-Oct-16,,,IEEE,IEEE Journals,no,no,,,,,
Improved spectral clustering using PCA based similarity measure on different Laplacian graphs,K. R. Kavitha; S. Sandeep; P. R. Praveen,"Department of Computer Science and Applications, Amrita School of Engineering, Amritapuri Amrita Viswa Vidyapeetham, Amrita University, India; Department of Computer Science and Applications, Amrita School of Engineering, Amritapuri Amrita Viswa Vidyapeetham, Amrita University, India; Department of Computer Science and Applications, Amrita School of Engineering, Amritapuri Amrita Viswa Vidyapeetham, Amrita University, India",2016 IEEE International Conference on Computational Intelligence and Computing Research (ICCIC),08-May-17,2016,,,1,6,"In data mining, clustering is one of the most significant task, and has been widely used in pattern recognition and image processing. One of the tradition and most widely used clustering algorithm is k-Means clustering algorithm, but this algorithm fails to find structural similarity in the data or if the data is non-linear. Spectral clustering is a graph clustering method in which the nodes are clustered and useful if the data is non-linear and it finds clusters of different shapes. A spectral graph is constructed based on the affinity matrix or similarity matrix and the graph cut is found using Laplacian matrix. Traditional spectral clustering use Gaussian kernel function to construct a spectral graph. In this paper we implement PCA based similarity measure for graph construction and generated different Laplacian graphs for spectral clustering. In PCA based similarity measure, the similarity measure based on eigenvalues and its eigenvectors is used for building the graph and we study the efficiency of two types of Laplacian graph matrices. This graph is then clustered using spectral clustering algorithm. Effect of PCA similarity measure is analyzed on two types of Laplacian graphs i.e., un-normalized Laplacian and normalized Laplacian. The outcome shows accurate result of PCA measure on these two Laplacian graphs. It predicts perfect clustering of non-linear data. This spectral clustering is widely used in image processing.",2473-943X,978-1-5090-0612-0,10.1109/ICCIC.2016.7919534,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7919534,PCA;spectral clustering;covariance;Eigen values;Eigen vectors;k-means;normalized;un-normalized;Laplacian,Laplace equations;Clustering algorithms;Principal component analysis;Covariance matrices;Algorithm design and analysis;Stacking;Manifolds,data mining;data structures;eigenvalues and eigenfunctions;Gaussian processes;graph theory;matrix algebra;pattern clustering;principal component analysis,spectral clustering;PCA;similarity measure;data mining;pattern recognition;image processing;k-means clustering algorithm;data structural similarity;graph clustering method;spectral graph;affinity matrix;similarity matrix;Gaussian kernel function;graph construction;eigenvalues;eigenvectors;Laplacian graph matrices,,3,,7,,08-May-17,,,IEEE,IEEE Conferences,yes,yes,no,yes,modified/anomalous metric,Modified/derived/anomalous metrics for better performance,"""When k-means clustering is used it fails to cluster data
when it is non-linear, since k-means is suitable to get spherical
clustering. If the data forms some shape k-means clustering
algorithm is not suitable. This is proven in Figure 3."" pg.5. ""The above fig 4 shows clustering algorithm constructs graph
with local PCA bases measure, it clusters but some amount of
error in clustering occurs."" pg.5. ""Fig 5 shows the result of clustering based on the proposed
algorithm. It predicts perfect clustering of non-linear data."" pg.5."
Investigating the Impact of Similarity Metrics in an Unsupervised-Based Feature Selection Method,C. A. Dantas; R. de O. Nunes; A. M. P. Canuto; J. C. Xavier-Júnior,"Inf. & Appl. Math. Dept., Fed. Univ. of Rio Grande do Norte, Natal, Brazil; Inf. & Appl. Math. Dept., Fed. Univ. of Rio Grande do Norte, Natal, Brazil; Inf. & Appl. Math. Dept., Fed. Univ. of Rio Grande do Norte, Natal, Brazil; Digital Metrolopis Inst., Fed. Univ. of Rio Grande do Norte, Natal, Brazil",2017 Brazilian Conference on Intelligent Systems (BRACIS),08-Jan-18,2017,,,55,60,"This paper presents a study about the impact of evaluation criteria and similarity measures in an unsupervisedbased feature selection (FS) method. The main aim of this paper is to assess the importance of these parameter in the analyzed FS method. This method will be evaluated using eight different configurations of these two important parameters. Basically, different correlation measures will be chosen as evaluation criteria and distance measures as similarity measures. In addition, in order to evaluate the impact of these parameters, an empirical analysis will be performed, in which the different configurations will be evaluated to define the best configuration. Then, the result of the best configuration will be compared to existing feature selection and extraction methods, applied to different classification problems. The results shown in this paper indicate that the proposed method using the best configuration had better performance results than the existing methods, in most cases.",,978-1-5386-2407-4,10.1109/BRACIS.2017.61,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8247029,Feature selection;similarity measures,Correlation;Clustering algorithms;Feature extraction;Euclidean distance;Heuristic algorithms;Urban areas,feature extraction;feature selection;pattern classification;unsupervised learning,similarity metrics;evaluation criteria;similarity measures;distance measures;correlation measures;classification problems;feature extraction methods;analyzed FS method;unsupervisedbased feature selection method,,5,,23,,08-Jan-18,,,IEEE,IEEE Conferences,yes,yes,no,yes,other factors,Other factors influencing performance along with distance/similarity metrics,"""In the first analysis, we observed that the best configuration for the DFS method was when Pearson correlation and
Euclidean distance were used. In addition, all configurations
that used the Pearson Correlation obtained better results than
the ones that used the Spearman Correlation and the statistical
test proved to be statistically significant, for all four similarity
measures."" pg.5. ""Therefore, we can state that Conf1 (Pearson - Euclidean)
was the best setup for the DFS method, slightly better than
Conf4."" pg.4"
"Exemplifying the Effects of Distance Metrics on Clustering Techniques: F-measure, Accuracy and Efficiency",T. Nizam; S. I. Hassan,"Jamia Hamdard University,New Delhi, India; Maulana Azad National Urdu University,Hyderabad,INDIA",2020 7th International Conference on Computing for Sustainable Global Development (INDIACom),04-May-20,2020,,,39,44,"Clustering is a type of unsupervised learning in which similar data or objects are collected into a single group. These objects can be exhibited in an n-dimensional Euclidean space. Hence based on distance metrics, similarities/dissimilarities can be measured. This paper reviews and analyzes two different clustering techniques' performance: K-means and FCM. These algorithms are applied on a dataset which contains information of those patients who had gone under breast cancer surgery. When K-means and FCM are applied using different distance metrics, it's found that precision, efficiency and accuracy of classification is also affected. On analysis, the K-means algorithm using Manhattan is found to be more suitable for clustering whereas FCM gives better result when Euclidean distance is chosen.",,978-93-80544-38-0,10.23919/INDIACom49435.2020.9083687,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9083687,clustering;data mining;Euclidean;FCM;K-means;Manhattan,Measurement;Clustering algorithms;Surgery;Euclidean distance;Feature extraction;Breast cancer;Classification algorithms,cancer;medical computing;pattern clustering;reviews;surgery;unsupervised learning,K-means algorithm;Euclidean distance;unsupervised learning;n-dimensional Euclidean space;clustering techniques;breast cancer surgery;distance metrics,,1,,14,,04-May-20,,,IEEE,IEEE Conferences,yes,yes,no,yes,data-dependent; comparison; other factors,Selection Criteria,"""After the experiments, it can be concluded that on numerical data, K-Means algorithm using Manhattan distance metric, gives higher accuracy than FCM algorithm but K-means takes higher elapsed time. Whereas using Euclidean distance metric, FCM algorithm gives higher accuracy than K-means algorithm but in this case FCM takes higher elapsed time. So, it is clear that based on different distance metric one can get different accuracy, that's why one will have to take care of distance metric also while choosing the clustering algorithm."" pg.6."
An approach of algorithmic clustering based on string compression to identify bird songs species in xeno-canto database,G. Sarasa; A. Granados; F. B. Rodriguez,"Escuela Politécnica Superior, Universidad Autónoma de Madrid, Madrid, Spain; CES Felipe II, Universidad Complutense de Madrid, Madrid, Aranjuez, Spain; Escuela Politécnica Superior, Universidad Autónoma de Madrid, Madrid, Spain",2017 3rd International Conference on Frontiers of Signal Processing (ICFSP),07-Nov-17,2017,,,101,104,"In this work, we analyze the usefulness of the normalized compression distance (NCD) as a similarity measure to bird species identification through audio samples. As a first approach we review the effect of different compression methods from 7z and CompLearn Toolkit, over subsets of bird audio samples obtained from the xeno-canto database. The performance of each compression method was measured applying hierarchical clustering and projection mapping to the distance matrix, and later on, measuring the quality of both of them. Our results are very promising and show that the identification of a bird species among multiples audio samples is possible through NCD-based-on clustering.",,978-1-5386-1038-1,10.1109/ICFSP.2017.8097150,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8097150,data mining;normalized compression distance;clustering;dendrogram;bird sound classification;silhouette coefficient;multidimensional projections;compression algorithms;similarity,Birds;Compression algorithms;Clustering algorithms;Digital audio players;Software;Redundancy;Databases,audio databases;audio signal processing;data compression;matrix algebra;pattern clustering,algorithmic clustering;string compression;xeno-canto database;normalized compression distance;similarity measure;CompLearn Toolkit;bird audio samples;compression method;hierarchical clustering;distance matrix;7z;bird songs species identification;projection mapping;NCD-based-on clustering,,2,,29,,07-Nov-17,,,IEEE,IEEE Conferences,no,,,,,,
Distance measures for effective clustering of ARIMA time-series,K. Kalpakis; D. Gada; V. Puttagunta,"Dept. of Comput. Sci. & Electron. Eng., Maryland Univ., Baltimore, MD, USA; NA; NA",Proceedings 2001 IEEE International Conference on Data Mining,07-Aug-02,2001,,,273,280,"Much environmental and socioeconomic time-series data can be adequately modeled using autoregressive integrated moving average (ARIMA) models. We call such time series ""ARIMA time series"". We propose the use of the linear predictive coding (LPC) cepstrum for clustering ARIMA time series, by using the Euclidean distance between the LPC cepstra of two time series as their dissimilarity measure. We demonstrate that LPC cepstral coefficients have the desired features for accurate clustering and efficient indexing of ARIMA time series. For example, just a few LPC cepstral coefficients are sufficient in order to discriminate between time series that are modeled by different ARIMA models. In fact, this approach requires fewer coefficients than traditional approaches, such as DFT (discrete Fourier transform) and DWT (discrete wavelet transform). The proposed distance measure can be used for measuring the similarity between different ARIMA models as well. We cluster ARIMA time series using the ""partition around medoids"" method with various similarity measures. We present experimental results demonstrating that, using the proposed measure, we achieve significantly better clusterings of ARIMA time series data as compared to clusterings obtained by using other traditional similarity measures, such as DFT, DWT, PCA (principal component analysis), etc. Experiments were performed both on simulated and real data.",,0-7695-1119-8,10.1109/ICDM.2001.989529,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=989529,,Linear predictive coding;Time measurement;Discrete Fourier transforms;Discrete wavelet transforms;Cepstral analysis;Principal component analysis;Cepstrum;Euclidean distance;Indexing;Fourier transforms,autoregressive moving average processes;time series;pattern clustering;linear predictive coding;cepstral analysis;environmental factors;socio-economic effects;social sciences;economic cybernetics;data mining;temporal databases,distance measure;ARIMA time-series clustering;environmental data;socioeconomic data;autoregressive integrated moving average;linear predictive coding;LPC cepstral coefficients;Euclidean distance;dissimilarity measure;indexing;partition-around-medoids method;similarity measures,,162,20,22,,07-Aug-02,,,IEEE,IEEE Conferences,yes,yes,no,yes,modified/anomalous metric; comparison; other factors,Modified/derived/anomalous metrics for better performance,"""However there are many similarity queries where Euclidean distances between raw data elements fail to capture
the notion of similarity (see [ 1.51 for examples). Agrawal
et a1 [2] present a more intuitive idea that two series
should be considered similar if they have enough nonoverlapping time-ordered pairs of subsequences that are
similar. The model allows translation and amplitude scaling. It also allows non-matching gaps in the matching subsequences."" p.g.1. ""We propose a new distance measure using the
LPC cepstral coefficients of the time-series for finding similarity
between time-series models."" pg.8. ""We compare the clustering results obtained using LPC cepstral
coefficients with those obtained using other widely used methods
such as DFT, DWT, PCA, and DFT of auto-correlation of the timeseries. LPC cepstral coefficients clearly perform much better than the other methods for clustering synthetic ARIMA time-series."" pg.8. ""In the above example it can be seen that simple Euclidean or Manhattan distances between the model parameters will not be of use. One might think of using some other
distance measures such as the maximum distance between
the model parameters or the distance between the principal
components of the model parameters"" pg.3"
An improved clustering based on edge detection method,W. Ju; J. Liu; S. Jin,"Beijing Aerospace Automatic Control Institute, 100854, China; Beijing Aerospace Automatic Control Institute, 100854, China; Beijing Aerospace Automatic Control Institute, 100854, China",2016 35th Chinese Control Conference (CCC),29-Aug-16,2016,,,4026,4030,"Edge is one basic feature of image, and extracting edges could give a strong support to target recognition. This paper proposes an improved edge information clustering algorithm based on evidence theory. Through merging the gradient matrix of image based on confidence, a group of eigenvector are obtained. Further, an improved K-means algorithm is applied to cluster, to eliminate the effects of different clustering results caused by different initial centers. The algorithm enhances the efficiency of edge detection, and the experiment is provided to demonstrate the results.",1934-1768,978-9-8815-6391-0,10.1109/ChiCC.2016.7553982,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7553982,edge detection;evidence theory;similarity measurement;cluster,Image edge detection;Clustering algorithms;Algorithm design and analysis;Mathematical model;Feature extraction;Target recognition;Uncertainty,edge detection;gradient methods;matrix algebra;merging;pattern clustering,edge detection efficiency enhancement;improved k-means algorithm;eigenvector;image gradient matrix merging;evidence theory;improved edge information clustering algorithm;target recognition;edge extraction,,,,18,,29-Aug-16,,,IEEE,IEEE Conferences,no,no,,,,,
Classification of Microarray Gene Expression Data using Weighted Grey Wolf Optimizer based Fuzzy Clustering,A. Achom; R. Das; P. Pakray; S. Saha,"National Insititute of Technology,Department of Computer Science and Engineering,Mizoram,India,796012; National Insititute of Technology,Department of Computer Science and Engineering,Mizoram,India,796012; National Insititute of Technology,Department of Computer Science and Engineering,Silchar,India,788010; Indian Institute of Technology,Department of Computer Science and Engineering,Patna,India,800013",TENCON 2019 - 2019 IEEE Region 10 Conference (TENCON),12-Dec-19,2019,,,2705,2710,"With the emergence of DNA microarray technology, scientists are continuously studying the expression levels of a large number of genes over different instances of time points. Analyzing the DNA microarray data confirm that the expression levels of two different genes vary simultaneously with the effect of external stimuli exhibiting different patterns. Therefore soft fuzzy clustering plays an important role in detecting patterns belonging to multiple clusters at the same time. Therefore this article proposes a novel fuzzy clustering technique utilizing weighted distance measure instead of the Euclidean distance using Grey Wolf Optimizer (GWO) as the global optimization techniques. Here clustering of microarray data is posed as a single objective optimization problem where the objective is to minimize the variability within the cluster and simultaneously maximizes the variability between the cluster. The newly proposed fuzzy-based weighted GWO clustering technique (Fuzzy-WDGWO) is then compared with some of the existing clustering techniques. Four different artificial datasets and three different real-life gene expression datasets have been considered to verify the efficiency of the proposed Fuzzy-WDGWO clustering technique both numerically as well as pictorially. Experimental analysis and performance evaluation of the proposed Fuzzy-WDGWO clustering technique show the superiority over the other existing clustering techniques such as PSO-FCM, FA-FCM, GWO-FCM, GWO-FCM, DE-FCM.",2159-3450,978-1-7281-1895-6,10.1109/TENCON.2019.8929385,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8929385,clustering;microarray gene expression;grey wolf optimizer;iterative fuzzy C means;weighted dissimilarity measure;soft clustering,Weight measurement;Clustering algorithms;Mathematical model;Gene expression;Euclidean distance;Indexes;Optimization,biology computing;fuzzy set theory;genetics;lab-on-a-chip;particle swarm optimisation;pattern clustering,artificial datasets;microarray gene expression data;expression levels;DNA microarray data;soft fuzzy clustering;weighted distance measure;single objective optimization problem;weighted GWO clustering technique;weighted grey wolf optimizer;fuzzy-WDGWO clustering technique;Euclidean distance,,2,,25,,12-Dec-19,,,IEEE,IEEE Conferences,yes,yes,no,yes,comparison; modified/anomalous metric,Modified/derived/anomalous metrics for better performance,""" this article proposes a novel fuzzy clustering technique utilizing
weighted distance measure instead of the Euclidean distance
using Grey Wolf Optimizer (GWO) as the global optimization
techniques"" pg.1. ""some clustering techniques based on symmetry in [1] and point symmetry in [2], [3] have been developed.
But the problem with all these clustering techniques is that
it gets easily trapped to local optima and show considerably
slow convergence rates."" pg.1."
